Category,Model Classification,Model Name,Publication_Date,Tool Usage,Url,Architecture,Transformer_Type,Description,Evaluation,citation
DNA/RNA,Unimodal,GRAPE-LM,2026-02,GRAPE-LM is a generative artificial intelligence framework that integrates a transformer-based conditional autoencoder with nucleic acid language models to perform single-round evolution and de novo generation of high-affinity RNA aptamers.,https://doi.org/10.1038/s41587-026-03007-5,"Transformer-based conditional autoencoder (CAE) comprising a frozen pretrained nucleic acid language model (e.g., RNA-FM, RNA-BERT, Evo) encoder with a trainable adapter, an activity guidance module (multi-layer regression) to constrain the latent space using pseudo-activity scores, and an autoregressive transformer-based decoder.",Encoder-Decoder,"GRAPE-LM leverages CRISPR-Cas-based intracellular screening data (CRISmers) to guide the latent space of a nucleic acid language model, enabling the targeted generation of functional RNA aptamers without requiring multiple rounds of traditional SELEX.","Evaluated on three targets (human T cell receptor CD3, SARS-CoV-2 spike RBD, and human c-Myc). Metrics include recovery rate, sequence diversity, GC content deviation, Pearson's correlation coefficient for pseudo-activity prediction, retention rate, and binding affinity (Kd measured via flow cytometry and Microscale Thermophoresis). Benchmarked against RaptGen, AptaDiff, Apta-MCTS, AptaTrans, and traditional SELEX methods.",0
DNA/RNA,Unimodal,dnaGrinder,2024-09,"A lightweight and efficient genomic foundation model that manages long-range dependencies in genomic sequences while minimizing computational costs. Supports sequences longer than 140,000 tokens on a single GPU with performance comparable to larger models.",https://doi.org/10.48550/arXiv.2409.15697,Transformer Encoder,Encoder-only,dnaGrinder is a lightweight Transformer encoder for DNA sequences. Encoder-only BERT-style architecture optimized for efficiency. (2024),Variant effect prediction,3
DNA/RNA,Unimodal,Nucleotide Transformer v3,2025-12,"InstaDeep's multi-species genomics foundation model with 1Mb conNatural language at single-nucleotide resolution. Unifies representation learning, functional track prediction, genome annotation, and controllable sequence generation via masked diffusion language modeling.",https://www.biorxiv.org/content/10.64898/2025.12.22.695963v1,U-Net Transformer (Single-base tokenization),Encoder-only,"U-Net Transformer architecture with single-base tokenization for improved resolution. Based on BERT-style encoder. (InstaDeep, 2024)",18 downstream genomic tasks; Chromatin accessibility; Promoter/enhancer prediction; Splicing benchmarks,6
DNA/RNA,Unimodal,AIDO.DNA,2025-1,"A 7B parameter encoder-only transformer from GenBio AI trained on 10.6B nucleotides from 796 species. Shows improvements across supervised, generative, and zero-shot tasks for functional genomics, synthetic biology, and drug development.",https://doi.org/10.1101/2024.12.01.625444,Transformer Encoder,Encoder-only,"AIDO.DNA uses 7B parameter Transformer encoder for DNA sequence modeling. Large-scale BERT-style encoder. (ModelScope, 2024)",Variant effect prediction; Zero-shot classification,10
DNA/RNA,Unimodal,GenomeOcean,2025-01,A 4B parameter generative genome foundation model trained on 600+ Gbp of metagenomic data from diverse ecosystems. Uses BPE tokenization for 150x faster generation than comparable models. Excels at representing microbial species and generating protein-coding genes constrained by evolutionary principles.,https://www.biorxiv.org/content/10.1101/2025.01.30.635558v2,Transformer Decoder + BPE tokenization + FlashAttention-2,Encoder-Decoder,A 4-billion-parameter generative genome foundation model trained on large-scale metagenomic assemblies to capture complex microbial diversity and genomic elements.,"Microbial species discrimination, protein-coding functionality, and biosynthetic gene cluster (BGC) synthesis.",16
DNA/RNA,Unimodal,GENERator,2025-2,"A generative genomic foundation model with 1.2B parameters and 98k nucleotide conNatural language length, trained on 386B bp of eukaryotic DNA. Demonstrates strong performance on sequence recovery benchmarks and can generate protein-coding DNA sequences that translate into structurally plausible proteins.",https://arxiv.org/abs/2502.07272,Autoregressive Transformer Decoder,Encoder-Decoder,"GENERator is a generative genomic foundation model with autoregressive Transformer decoder architecture. 1.2B parameters, generates DNA sequences autoregressively. (Cochrane et al., 2025)",Variant effect prediction,25
DNA/RNA,Unimodal,Alphagenome,2025-06,"Google DeepMind's unified genomic model that takes DNA sequences up to 1 million base pairs and predicts thousands of molecular properties including gene expression, splicing patterns, chromatin features, and contact maps. Achieves state-of-the-art performance on variant effect prediction tasks.",https://doi.org/10.1101/2025.06.25.661532,Transformer (DNA Foundation Model),Encoder-Decoder,"Alphagenome from Google DeepMind uses Transformer encoder architecture as a DNA foundation model. Large-scale encoder for genomic understanding. (DeepMind, 2025)",Variant effect prediction; Splicing prediction; Contact map prediction; 1M base pair conNatural language,83
DNA/RNA,Unimodal,GROVER,2024-07,"A DNA language model that learns sequence conNatural language in the human genome. Demonstrates that gLMs initially learn token frequencies, providing insights into how genomic foundation models capture conNatural languageual relationships.",https://doi.org/10.1038/s42256-024-00872-0,Transformer Encoder (BPE tokenization),Encoder-only,GROVER uses Transformer encoder architecture with BPE tokenization for genomic sequences. BERT-style encoder with masked language modeling. (2024),Token frequency learning; Genome conNatural language prediction; gLM benchmark evaluation,89
DNA/RNA,Unimodal,Nucleotide Transformer,2025-02,50M-2.5B parameter models trained on 3202 human genomes + 850 species,https://pubmed.ncbi.nlm.nih.gov/39609566/,"Transformer Encoder (BERT-style, MLM)",Encoder-only,"The models are trained following BERT methodology. The main technique to train LM transformers with MLM is called bidirectional encoder representations from transformers (BERT). (Dalla-Torre et al., Nature Methods 2024)",18 downstream genomic tasks; Chromatin accessibility; Promoter/enhancer prediction; Splicing benchmarks,142
DNA/RNA,Unimodal,Caduceus,2024-6,A bidirectional equivariant long-range DNA sequence model using Mamba (state space model) architecture. Designed to handle both DNA strands while maintaining reverse complement equivariance for improved genomic modeling.,https://doi.org/10.48550/arXiv.2403.03234,Bi-directional and reverse-complement (RC) equivariant blocks based on the Mamba selective SSM,Encoder-only,"Caduceus uses bidirectional Mamba architecture, a state-space model (SSM) with RC-equivariance (reverse complement). Uses Mamba blocks instead of attention. (Schiff et al., ICML 2024)","Genomic sequence classification, epigenetic and regulatory annotation, and long-range variant effects on gene expression.",180
DNA/RNA,Unimodal,EVO 2,2025-02,"A 40B parameter biological foundation model trained on 9.3 trillion DNA base pairs from all domains of life with 1 million token conNatural language window. Predicts functional impacts of genetic variation including noncoding pathogenic mutations and BRCA1 variants. Generates mitochondrial, prokaryotic, and eukaryotic sequences at genome scale.",https://www.biorxiv.org/content/10.1101/2025.02.18.638918v1,StripedHyena 2 multi-hybrid architecture (Hyena operators + attention),Encoder-Decoder,A biological foundation model trained on 9.3 trillion DNA base pairs spanning all domains of life for genomic prediction and design,"BRCA1 variant prediction; Pathogenic mutation classification; Genome-scale generation; 1M conNatural language evaluationPathogenic variant effects, molecular/organismal fitness, and de novo sequence generation.",197
DNA/RNA,Unimodal,DNABERT-2,2024-05,BPE-based multi-species genomic model with 21x fewer parameters than DNABERT,https://arxiv.org/abs/2306.15006,"Transformer Encoder (BERT-style, BPE tokenization, ALiBi)",Encoder-only,"DNABERT-2 is an efficient multi-species genome foundation model based on BERT architecture with Byte Pair Encoding (BPE) tokenization and ALiBi positional encoding. Uses bidirectional encoder with masked language modeling. (Zhou et al., ICLR 2024)",Genome Understanding Evaluation (GUE) benchmark; Zero-shot species classification; TF binding site prediction,354
DNA/RNA,Unimodal,HyenaDNA,2023-11,1M token conNatural language model at single-nucleotide resolution using Hyena architecture,https://pubmed.ncbi.nlm.nih.gov/37426456/,"Hyena (Long Convolution + Gating, Decoder-only)",Non-Transformer,"HyenaDNA uses Hyena operators (long convolution + gating mechanism), a state-space model architecture. Not attention-based Transformer. Handles context windows up to 1 million nucleotides. (Nguyen et al., NeurIPS 2023)",Species classification; Regulatory element prediction; 1M conNatural language benchmarks; Chromatin profile prediction,450
DNA/RNA,Unimodal,DNABERT,2021-02,Bidirectional transformer using k-mer tokenization for genomic sequence understanding,https://doi.org/10.1093/bioinformatics/btab083,"Transformer Encoder (BERT-base, 12 layers)",Encoder-only,"We adapted the idea of Bidirectional Encoder Representations from Transformers (BERT) model to genomic DNA setting. We used the same model architecture as the BERT base, which consists of 12 Transformer layers with 768 hidden units and 12 attention heads. (Ji et al., Bioinformatics 2021)",Genome Understanding Evaluation (GUE) benchmark; Zero-shot species classification; TF binding site prediction,1051
"DNA/RNA, CFP",Multimodal,iGWAS,2024-05,iGWAS: Image-based genome-wide association of self-supervised deep phenotyping of retina fundus images,https://pubmed.ncbi.nlm.nih.gov/38728357/,Inception v3 backbone with ArcFace-like contrastive loss,Encoder-only,"iGWAS uses hybrid Transformer/CNN architecture for imaging-GWAS analysis, combining vision and genomics. (2024)",Variant effect prediction,12
"DNA/RNA, CFP",Multimodal,ContIG,2021-11,"ContIG, ContIG: Self-supervised Multimodal Contrastive Learning for Medical Imaging with Genetics",https://arxiv.org/abs/2111.13424,Contrastive (Image-Genomics),Dual-Encoder,"ContIG uses contrastive learning with dual encoders for image-genomics alignment. Separate CNN/ViT image encoder and genomics encoder. (Taleb et al., 2021)",Variant effect prediction,72
"DNA/RNA, CFP",Multimodal,PM1,2025-12,"PM1: A Foundation Model Fusing Genotype, Phenotype, and Image for Precision Medicine",https://openreview.net/forum?id=EuEZsmJRRW,Transformer,Encoder-only,Transformer encoder for multimodal prediction.,Variant effect prediction,
"DNA/RNA, MRI",Multimodal,COMICAL,2025-08,A foundation model for learning genetic associations from brain imaging phenotypes,https://doi.org/10.1093/bioadv/vbaf196,Transformer (Multimodal),Dual-Encoder,Transformer encoder for multimodal medical image analysis.,Variant effect prediction,0
"DNA/RNA, MRI",Multimodal,Genetic InfoMax (GIM),2023-09,Genetic InfoMax: Exploring Mutual Information Maximization in High-Dimensional Imaging Genetics Studies,https://arxiv.org/abs/2309.15132,3D CNN MRI encoder + Swin-transformer genetic encoder + Reconstruction head,Dual-Encoder,GIM uses mutual information maximization with dual encoders for image-genomics learning. Contrastive approach with separate modality encoders. (2023),"Loci discovery (GWAS), disease risk prediction (e.g., stroke, cancer), and sex classification.",4
